,Risorsa,AreaProduzione,CostoOrario
0,RIS1,A10,51.0
1,RIS1,A11,51.0
2,RIS1,A20,68.0
3,RIS1,A30,68.0
4,RIS1,A32,51.0
5,RIS1,A33,51.0
6,RIS1,A40,51.0
7,RIS10,A30,51.0
8,RIS11,A10,42.5
9,RIS11,A20,51.0
10,RIS11,A30,51.0
11,RIS11,A40,42.5
12,RIS12,A10,51.0
13,RIS12,A11,51.0
14,RIS12,A12,42.5
15,RIS12,A20,68.0
16,RIS12,A30,68.0
17,RIS12,A32,51.0
18,RIS12,A35,42.5
19,RIS12,A40,42.5
20,RIS13,A10,42.5
21,RIS13,A11,42.5
22,RIS13,A20,68.0
23,RIS13,A30,68.0
24,RIS13,A32,42.5
25,RIS13,A33,42.5
26,RIS13,A34,42.5
27,RIS13,A35,42.5
28,RIS13,A36,42.5
29,RIS13,A40,42.5
30,RIS14,A10,42.5
31,RIS14,A11,42.5
32,RIS14,A20,51.0
33,RIS14,A30,42.5
34,RIS14,A32,51.0
35,RIS14,A33,51.0
36,RIS14,A34,51.0
37,RIS14,A40,51.0
38,RIS16,CQ,12.75
39,RIS18,A05,51.0
40,RIS18,A10,51.0
41,RIS18,A30,51.0
42,RIS2,A10,51.0
43,RIS2,A11,51.0
44,RIS2,A20,68.0
45,RIS2,A30,51.0
46,RIS2,A33,42.5
47,RIS2,A40,42.5
48,RIS3,A10,42.5
49,RIS3,A11,42.5
50,RIS3,A12,42.5
51,RIS3,A30,42.5
52,RIS3,A40,42.5
53,RIS4,A10,42.5
54,RIS4,A20,51.0
55,RIS4,A30,51.0
56,RIS4,A33,42.5
57,RIS4,A40,42.5
58,RIS4,A41,42.5
59,RIS5,A20,51.0
60,RIS5,A30,42.5
61,RIS6,A20,51.0
62,RIS6,A30,42.5
63,RIS7,A20,68.0
64,RIS7,A30,51.0
65,RIS9,A11,42.5
66,RIS9,A20,68.0
67,RIS9,A30,42.5
68,RIS9,A32,42.5
69,RIS9,A40,42.5
