,Nr,CodCondizioniPagam,FattCumulative,Valuta
0,C00001,101,False,1
1,C00003,102,False,2
2,C00004,102,False,3
3,C00005,112,False,1
4,C00006,101,False,2
5,C00007,101,False,3
6,C00008,101,False,1
7,C00009,101,False,2
8,C00010,107,False,3
9,C00011,101,False,1
10,C00013,100,False,2
11,C00015,100,False,3
12,C00017,101,False,1
13,C00018,112,False,2
14,C00019,101,False,3
15,C00020,101,False,1
16,C00021,102,False,2
17,C00022,101,False,3
18,C00023,101,False,1
19,C00024,101,False,2
20,C00025,101,False,3
21,C00026,102,False,1
22,C00027,111,False,2
23,C00028,100,False,3
24,C00081,102,False,1
25,C00084,102,False,2
26,C00094,102,False,3
27,C00102,100,False,1
28,C00103,101,False,2
29,C00117,100,False,3
30,C00127,101,False,1
31,C00140,119,True,2
32,C00158,101,False,3
33,C00184,102,False,1
34,C00194,101,False,2
35,C00221,101,False,3
36,C00236,101,False,1
37,C00241,101,False,2
38,C00297,100,False,3
39,C00344,102,False,1
40,C00349,110,False,2
41,C00353,100,False,3
42,C00360,102,False,1
43,C00378,101,False,2
44,C00380,101,False,3
45,C00384,101,False,1
46,C00399,100,False,2
47,C00402,107,False,3
48,C00434,107,False,1
49,C00436,120,False,2
50,C00454,101,False,3
51,C00455,101,False,1
52,C00456,101,False,2
53,C00457,101,False,3
54,C00458,102,False,1
55,C00459,101,False,2
56,C00460,107,False,3
57,C00461,107,False,1
58,C00462,107,False,2
59,C00463,107,False,3
60,C00465,107,False,1
61,C00466,100,False,2
62,C00467,111,False,3
63,C00470,107,False,1
64,C00471,101,False,2
65,C00472,107,False,3
66,C00473,100,False,1
67,C00474,104,False,2
68,C00475,107,False,3
69,C00476,107,False,1
70,C00477,101,False,2
71,C00478,100,False,3
72,C00479,100,False,1
73,C00480,100,False,2
74,C00481,100,False,3
75,C00482,100,False,1
76,C00483,100,False,2
77,C00484,100,False,3
78,C00485,100,False,1
79,C00486,107,False,2
80,C00487,101,False,3
81,C00488,100,False,1
82,C00489,100,False,2
83,C00492,101,False,3
84,C00493,101,False,1
85,C00494,101,False,2
86,C00495,101,False,3
87,C00496,101,False,1
88,C00497,101,False,2
89,C00498,101,False,3
90,C00499,100,False,1
91,C00500,102,False,2
92,C00501,101,False,3
93,C00502,100,False,1
94,C00503,101,False,2
95,C00504,120,False,3
96,C00505,100,False,1
97,C00506,101,False,2
98,C00507,101,False,3
99,C00508,101,False,1
100,C00509,101,False,2
101,C00510,101,False,3
102,C00511,101,False,1
103,C00512,100,False,2
104,C00513,101,False,3
105,C00514,101,False,1
106,C00515,101,False,2
107,C90001,101,False,3
