,Nr.,Cod. condizioni pagam.,Fatt. cumulative,Valuta,Valuta
0,C00001,101,False,1,Euro
3,C00005,112,False,1,Euro
6,C00008,101,False,1,Euro
9,C00011,101,False,1,Euro
12,C00017,101,False,1,Euro
15,C00020,101,False,1,Euro
18,C00023,101,False,1,Euro
21,C00026,102,False,1,Euro
24,C00081,102,False,1,Euro
27,C00102,100,False,1,Euro
30,C00127,101,False,1,Euro
33,C00184,102,False,1,Euro
36,C00236,101,False,1,Euro
39,C00344,102,False,1,Euro
42,C00360,102,False,1,Euro
45,C00384,101,False,1,Euro
48,C00434,107,False,1,Euro
51,C00455,101,False,1,Euro
54,C00458,102,False,1,Euro
57,C00461,107,False,1,Euro
60,C00465,107,False,1,Euro
63,C00470,107,False,1,Euro
66,C00473,100,False,1,Euro
69,C00476,107,False,1,Euro
72,C00479,100,False,1,Euro
75,C00482,100,False,1,Euro
78,C00485,100,False,1,Euro
81,C00488,100,False,1,Euro
84,C00493,101,False,1,Euro
87,C00496,101,False,1,Euro
90,C00499,100,False,1,Euro
93,C00502,100,False,1,Euro
96,C00505,100,False,1,Euro
99,C00508,101,False,1,Euro
102,C00511,101,False,1,Euro
105,C00514,101,False,1,Euro
1,C00003,102,False,2,Dollaro
4,C00006,101,False,2,Dollaro
7,C00009,101,False,2,Dollaro
10,C00013,100,False,2,Dollaro
13,C00018,112,False,2,Dollaro
16,C00021,102,False,2,Dollaro
19,C00024,101,False,2,Dollaro
22,C00027,111,False,2,Dollaro
25,C00084,102,False,2,Dollaro
28,C00103,101,False,2,Dollaro
31,C00140,119,True,2,Dollaro
34,C00194,101,False,2,Dollaro
37,C00241,101,False,2,Dollaro
40,C00349,110,False,2,Dollaro
43,C00378,101,False,2,Dollaro
46,C00399,100,False,2,Dollaro
49,C00436,120,False,2,Dollaro
52,C00456,101,False,2,Dollaro
55,C00459,101,False,2,Dollaro
58,C00462,107,False,2,Dollaro
61,C00466,100,False,2,Dollaro
64,C00471,101,False,2,Dollaro
67,C00474,104,False,2,Dollaro
70,C00477,101,False,2,Dollaro
73,C00480,100,False,2,Dollaro
76,C00483,100,False,2,Dollaro
79,C00486,107,False,2,Dollaro
82,C00489,100,False,2,Dollaro
85,C00494,101,False,2,Dollaro
88,C00497,101,False,2,Dollaro
91,C00500,102,False,2,Dollaro
94,C00503,101,False,2,Dollaro
97,C00506,101,False,2,Dollaro
100,C00509,101,False,2,Dollaro
103,C00512,100,False,2,Dollaro
106,C00515,101,False,2,Dollaro
2,C00004,102,False,3,Dollaro
5,C00007,101,False,3,Dollaro
8,C00010,107,False,3,Dollaro
11,C00015,100,False,3,Dollaro
14,C00019,101,False,3,Dollaro
17,C00022,101,False,3,Dollaro
20,C00025,101,False,3,Dollaro
23,C00028,100,False,3,Dollaro
26,C00094,102,False,3,Dollaro
29,C00117,100,False,3,Dollaro
32,C00158,101,False,3,Dollaro
35,C00221,101,False,3,Dollaro
38,C00297,100,False,3,Dollaro
41,C00353,100,False,3,Dollaro
44,C00380,101,False,3,Dollaro
47,C00402,107,False,3,Dollaro
50,C00454,101,False,3,Dollaro
53,C00457,101,False,3,Dollaro
56,C00460,107,False,3,Dollaro
59,C00463,107,False,3,Dollaro
62,C00467,111,False,3,Dollaro
65,C00472,107,False,3,Dollaro
68,C00475,107,False,3,Dollaro
71,C00478,100,False,3,Dollaro
74,C00481,100,False,3,Dollaro
77,C00484,100,False,3,Dollaro
80,C00487,101,False,3,Dollaro
83,C00492,101,False,3,Dollaro
86,C00495,101,False,3,Dollaro
89,C00498,101,False,3,Dollaro
92,C00501,101,False,3,Dollaro
95,C00504,120,False,3,Dollaro
98,C00507,101,False,3,Dollaro
101,C00510,101,False,3,Dollaro
104,C00513,101,False,3,Dollaro
107,C90001,101,False,3,Dollaro
